Mass-to-charge,Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5,Spectra 6
696.703,102,307,306,561,716,0
696.729,255,51,102,664,614,0
696.7549,561,51,102,612,613,51
696.7809,561,102,306,510,767,102
696.8068,664,102,511,561,920,51
696.8328,765,51,255,408,612,0
696.8587,766,0,153,357,459,0
696.8847,306,102,153,153,562,0
696.9107,357,204,561,51,563,0
696.9366,358,153,920,102,511,0
696.9626,204,0,920,614,716,51
696.9885,51,51,460,1023,511,153
697.0145,153,102,102,1124,357,204
697.0405,255,102,0,562,716,51
697.0664,204,102,0,357,1023,0
697.0924,51,102,0,255,819,0
697.1184,51,102,51,511,409,0
697.1443,256,0,153,562,357,0
697.1703,358,0,204,409,357,0
697.1963,562,0,153,409,408,0
697.2222,767,0,102,357,715,0
697.2482,766,0,153,306,1175,0
697.2742,714,0,358,306,1074,0
697.3001,511,0,511,255,613,102
697.3261,408,0,306,306,408,255
697.3521,102,0,0,562,204,102
697.378,51,0,204,869,51,0
697.404,153,0,409,562,102,0
697.43,562,0,358,255,204,0
697.4559,714,0,153,408,153,0
697.4819,511,0,102,459,102,0
697.5079,204,0,153,255,0,0
697.5338,102,102,510,204,51,0
697.5598,51,204,664,612,51,0
697.5858,204,256,409,1585,51,0
697.6118,307,51,51,1738,204,102
697.6377,459,204,204,1226,766,306
697.6637,357,357,153,357,920,204
697.6897,102,357,204,357,613,0
697.7157,0,102,204,562,256,0
697.7416,255,204,204,919,102,0
697.7676,408,204,204,919,0,102
697.7936,613,153,460,510,0,204
697.8196,920,0,460,511,51,102
697.8455,971,0,561,613,153,0
697.8715,510,0,255,357,460,0
697.8975,716,0,255,408,767,0
697.9235,971,51,51,459,459,0
697.9495,1278,102,204,664,357,0
697.9754,817,102,357,614,51,0
698.0014,1074,0,510,408,306,0
698.0274,1636,153,306,357,460,0
698.0534,1996,358,357,510,562,0
698.0794,1688,307,408,561,562,0
698.1053,1278,204,357,613,818,0
698.1313,1535,102,102,510,715,0
698.1573,1890,153,0,460,408,0
698.1833,1123,51,255,358,460,0
698.2093,561,51,307,153,817,153
698.2353,204,0,409,102,511,204
698.2612,714,0,409,612,408,153
698.2872,970,102,409,868,561,0
698.3132,664,153,511,1175,716,0
698.3392,255,0,409,459,306,0
698.3652,357,0,409,510,204,0
698.3912,562,0,204,919,510,0
698.4172,920,0,51,1124,612,0
698.4432,920,51,357,817,459,0
698.4691,1175,0,408,1329,664,0
698.4951,663,0,255,1635,307,0
698.5211,357,0,357,1634,204,0
698.5471,204,0,511,1124,153,0
698.5731,307,102,306,970,459,0
698.5991,409,306,102,358,664,0
698.6251,357,357,204,255,716,51
698.6511,204,153,306,408,460,102
698.6771,459,459,408,613,255,306
698.7031,613,561,357,409,51,409
698.7291,561,459,204,358,460,511
698.7551,818,409,51,408,972,204
698.781,1177,204,0,921,972,255
698.807,920,51,153,1074,460,408
698.833,511,153,460,817,204,613
698.859,409,102,460,460,357,408
698.885,663,0,714,766,408,51
698.911,612,0,868,869,255,0
698.937,663,0,1074,970,255,0
698.963,665,204,1226,612,204,0
698.989,1278,562,1125,255,255,51
699.015,1380,767,459,102,255,0
699.041,817,870,255,255,306,0
699.067,306,409,767,562,204,0
699.093,562,51,716,562,51,0
699.119,613,51,511,306,0,0
699.145,971,307,512,715,102,0
699.171,1022,409,307,664,255,0
699.197,920,307,0,613,358,0
699.223,357,102,102,306,460,0
699.249,562,460,102,51,817,0
699.275,817,614,51,102,511,0
699.301,1022,460,204,153,255,0
699.3271,1175,0,306,204,102,0
699.3531,1021,0,255,510,0,0
699.3791,918,0,102,613,153,0
699.4051,1022,0,307,817,613,0
699.4311,1022,0,307,562,665,0
699.4571,1074,0,153,613,869,0
699.4831,766,0,0,816,972,0
699.5091,459,51,51,1073,1022,0
699.5351,664,102,102,868,818,0
699.5611,921,306,153,817,511,0
699.5871,408,358,102,460,307,0
699.6131,102,562,255,613,153,0
699.6391,256,460,204,459,153,0
699.6652,512,306,153,102,102,0
699.6912,409,357,102,51,153,0
699.7172,204,357,0,204,459,0
699.7432,408,153,0,358,510,51
699.7692,664,153,51,767,306,204
699.7952,561,204,358,409,153,460
699.8212,562,408,716,102,204,562
699.8473,409,409,664,0,204,256
699.8733,255,460,561,0,307,0
699.8993,511,408,715,0,409,0
699.9253,1022,612,766,153,255,0
699.9513,1023,511,561,612,153,0
699.9773,767,511,204,868,204,0
700.0033,408,306,102,868,204,51
700.0294,510,51,306,613,561,256
700.0554,767,0,612,511,869,307
700.0814,1279,51,663,665,819,204
700.1074,1534,153,255,716,409,0
700.1334,1637,153,255,664,204,0
700.1595,1533,153,255,357,306,0
700.1855,1124,153,357,153,408,102
700.2115,971,102,102,0,511,102
700.2375,1381,0,0,153,460,0
700.2635,1534,0,102,307,204,0
700.2896,1890,102,204,511,255,0
700.3156,1635,204,357,459,204,0
700.3416,1329,204,409,408,153,0
700.3676,613,51,409,153,0,0
700.3937,306,0,409,153,51,0
700.4197,357,0,256,562,459,0
700.4457,613,0,357,970,1125,0
700.4717,459,51,153,971,868,51
700.4978,612,51,102,818,971,153
700.5238,613,102,102,664,971,102
700.5498,664,714,306,664,920,0
700.5759,766,663,511,715,563,102
700.6019,1074,408,409,817,460,307
700.6279,920,102,153,818,102,358
700.6539,1073,204,255,817,153,204
700.68,920,153,306,663,204,51
700.706,868,306,511,714,0,204
700.732,459,613,409,817,102,255
700.7581,562,715,306,919,358,255
700.7841,664,357,511,459,613,204
700.8101,715,51,716,408,1074,102
700.8362,612,0,358,663,1124,0
700.8622,357,0,204,867,613,0
700.8882,153,51,204,459,153,0
700.9143,306,0,357,306,102,0
700.9403,562,51,306,102,0,0
700.9663,817,357,408,408,102,0
700.9924,613,306,255,562,408,0
701.0184,613,153,818,663,767,0
701.0444,562,102,1175,408,766,102
701.0705,817,102,1329,307,665,153
701.0965,869,0,919,153,153,51
701.1226,1226,0,766,102,0,0
701.1486,1636,0,357,51,51,0
701.1746,1431,0,102,153,51,0
701.2007,969,0,51,255,0,0
701.2267,766,0,0,153,0,0
701.2528,818,51,102,306,0,0
701.2788,1021,102,409,306,306,0
701.3048,765,102,409,204,460,0
701.3309,766,0,153,0,511,0
701.3569,1022,102,357,102,306,0
701.383,970,204,715,512,510,0
701.409,868,255,920,972,612,0
701.4351,767,255,767,1481,766,0
701.4611,460,256,306,1738,767,0
701.4871,561,153,0,1431,664,0
701.5132,919,102,0,612,613,0
701.5392,1431,153,306,255,563,0
701.5653,817,102,613,357,358,0
701.5913,153,51,767,766,357,0
701.6174,204,153,511,971,766,0
701.6434,357,153,153,664,1636,51
701.6695,408,0,204,306,1636,153
701.6955,306,0,307,408,1432,204
701.7216,510,153,306,816,870,51
701.7476,1227,409,204,1534,460,102
701.7737,1329,511,306,1839,408,153
701.7997,613,409,358,1481,1023,102
701.8258,255,255,306,1072,1227,51
701.8518,869,408,204,1124,818,0
